FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
16³,0.2202,0.0220,11.1624
16³,0.2526,0.0253,9.7305
16³,0.2187,0.0219,11.2360
16³,0.2226,0.0223,11.0421
16³,0.3006,0.0301,8.1756
16³,0.2438,0.0244,10.0822
16³,0.3117,0.0312,7.8840
16³,0.2724,0.0272,9.0218
16³,0.3714,0.0371,6.6176
16³,0.4089,0.0409,6.0103
16³,0.4201,0.0420,5.8503
16³,0.4157,0.0416,5.9118
16³,0.4164,0.0416,5.9025
16³,0.4464,0.0446,5.5053
16³,0.4409,0.0441,5.5736
16³,0.3809,0.0381,6.4526
16³,0.5554,0.0555,4.4248
16³,0.6366,0.0637,3.8604
16³,0.6419,0.0642,3.8288
16³,0.6726,0.0673,3.6541
16³,0.7072,0.0707,3.4753
16³,0.7185,0.0718,3.4206
16³,0.8032,0.0803,3.0599
16³,0.7105,0.0711,3.4588
16³,0.8781,0.0878,2.7988
16³,0.7880,0.0788,3.1189
16³,0.9440,0.0944,2.6034
16³,0.9581,0.0958,2.5651
16³,0.8161,0.0816,3.0114
16³,1.0434,0.1043,2.3554
16³,1.0344,0.1034,2.3759
16³,0.9816,0.0982,2.5036
16³,1.1167,0.1117,2.2008
16³,1.0676,0.1068,2.3019
16³,1.2492,0.1249,1.9673
16³,1.1624,0.1162,2.1143
16³,1.0497,0.1050,2.3411
16³,1.1620,0.1162,2.1149
16³,1.3579,0.1358,1.8099
16³,1.2848,0.1285,1.9128
