FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
256³,9568.0019,956.8002,2.1042
256³,5005.9502,500.5950,4.0217
256³,3811.9587,381.1959,5.2814
256³,2691.8256,269.1826,7.4792
256³,2437.4465,243.7447,8.2597
256³,1837.8060,183.7806,10.9547
256³,1840.2602,184.0260,10.9401
256³,1879.3692,187.9369,10.7125
256³,1577.7706,157.7771,12.7602
256³,1583.9259,158.3926,12.7106
256³,1372.2125,137.2212,14.6717
256³,1513.8333,151.3833,13.2991
256³,1207.3733,120.7373,16.6748
256³,1200.4292,120.0429,16.7712
256³,1120.3051,112.0305,17.9707
256³,1409.5549,140.9555,14.2830
256³,1145.9431,114.5943,17.5686
256³,1282.8671,128.2867,15.6935
256³,998.4255,99.8426,20.1644
256³,1172.5299,117.2530,17.1703
256³,967.5497,96.7550,20.8079
256³,1108.7512,110.8751,18.1580
256³,1000.5948,100.0595,20.1207
256³,1066.6652,106.6665,18.8744
256³,977.3294,97.7329,20.5997
256³,964.7178,96.4718,20.8690
256³,976.0402,97.6040,20.6269
256³,1034.7938,103.4794,19.4557
256³,965.4266,96.5427,20.8536
256³,993.1495,99.3149,20.2715
256³,904.1509,90.4151,22.2669
256³,1458.5653,145.8565,13.8031
256³,967.0529,96.7053,20.8186
256³,984.9358,98.4936,20.4406
256³,987.4593,98.7459,20.3883
256³,1155.7731,115.5773,17.4192
256³,1006.4721,100.6472,20.0032
256³,1005.6660,100.5666,20.0192
256³,975.1540,97.5154,20.6456
256³,1359.7098,135.9710,14.8066
