FFT,SizeTotal,Runtime(ms),AvgRuntime(ms),Throughput(GFLOPS)
fftw,64³,30050.555426,3.005056,7.851089
fftw,64³,19826.551680,1.982655,11.899679
fftw,64³,14587.167274,1.458717,16.173778
fftw,64³,10634.466650,1.063447,22.185372
fftw,64³,8509.895639,0.850990,27.724147
fftw,64³,7300.452071,0.730045,32.317122
fftw,64³,6681.432650,0.668143,35.311229
fftw,64³,6222.324329,0.622232,37.916635
fftw,64³,5414.196976,0.541420,43.576102
fftw,64³,4814.067184,0.481407,49.008373
fftw,64³,4592.950120,0.459295,51.367769
fftw,64³,4110.451358,0.411045,57.397492
fftw,64³,3636.152726,0.363615,64.884403
fftw,64³,4292.793504,0.429279,54.959457
fftw,64³,3860.460696,0.386046,61.114364
fftw,64³,3400.494729,0.340049,69.380963
fftw,64³,3178.985463,0.317899,74.215376
fftw,64³,2963.463239,0.296346,79.612798
fftw,64³,2908.971042,0.290897,81.104142
fftw,64³,2875.160777,0.287516,82.057881
fftw,64³,2831.353275,0.283135,83.327504
fftw,64³,2464.247686,0.246425,95.741025
fftw,64³,2451.511521,0.245151,96.238422
fftw,64³,2402.035872,0.240204,98.220681
fftw,64³,2441.862251,0.244186,96.618718
fftw,64³,2307.294212,0.230729,102.25380,
fftw,64³,2278.984495,0.227898,103.52400,
fftw,64³,2399.744167,0.239974,98.314480
fftw,64³,2226.545414,0.222655,105.96217,
fftw,64³,2266.371958,0.226637,104.10012,
fftw,64³,2262.386547,0.226239,104.28350,
fftw,64³,2265.626574,0.226563,104.13437,
fftw,64³,1920.918634,0.192092,122.82123,
fftw,64³,1904.346662,0.190435,123.89004,
fftw,64³,1912.699616,0.191270,123.34900,
fftw,64³,1859.632141,0.185963,126.86896,
fftw,64³,1872.720828,0.187272,125.98225,
fftw,64³,1863.205781,0.186321,126.62562,
fftw,64³,1813.973542,0.181397,130.06231,
fftw,64³,1821.421885,0.182142,129.53045,
