Processes,Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS),AvgTimetoTransfer(ms)
4,32,32³,0.0960,11.3105,0.0427
4,33,32³,0.0993,10.3883,0.1651
4,34,32³,0.0958,11.3321,0.1411
4,35,32³,0.0998,10.8710,0.1871
4,36,32³,0.0988,10.4418,0.1420
4,37,32³,0.0962,11.2802,0.2037
4,38,32³,0.0928,11.7023,0.1552
4,39,32³,0.0943,11.5151,0.1958
4,40,32³,0.1318,8.2368,0.1621
