Processes,Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS),AvgTimetoTransfer(ms)
4,32,512³,332.6628,17.7272,167.0924
4,33,512³,328.6585,18.2281,172.1969
4,34,512³,327.8437,17.9698,167.4395
4,35,512³,327.6048,18.7185,166.8719
4,36,512³,328.1541,18.7350,167.1152
4,37,512³,328.3878,18.2187,169.2974
4,38,512³,329.0763,19.5552,172.0587
4,39,512³,329.4209,21.6236,172.0785
4,40,512³,336.8977,18.2893,168.4920
