Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 28.089449ms
 1: 10.251052ms
 2: 0.133174ms
 3: 0.117624ms
 4: 0.154097ms
 5: 0.149838ms
 6: 0.155157ms
 7: 0.148696ms
 8: 0.148482ms
 9: 0.149270ms
 10: 0.126636ms
 11: 0.123621ms
 12: 0.150846ms
 13: 0.152023ms
 14: 0.149117ms
 15: 0.155644ms
 16: 0.127990ms
 17: 0.140625ms
 18: 0.144158ms
 19: 0.149532ms
 20: 0.151740ms
 21: 0.145728ms
 22: 0.141466ms
 23: 0.146795ms
 24: 0.147721ms
 25: 0.146275ms
 26: 0.129770ms
 27: 0.147732ms
 28: 0.134580ms
 29: 0.150735ms
 30: 0.147203ms
 31: 0.135064ms
 32: 0.160018ms
 33: 0.149117ms
 34: 0.132610ms
 35: 0.137315ms
 36: 0.148535ms
 37: 0.118050ms
 38: 0.133663ms
 39: 0.150884ms
 40: 0.149963ms
 41: 0.156534ms
 42: 0.122913ms
 43: 0.148698ms
 44: 0.129838ms
 45: 0.156435ms
 46: 0.147449ms
 47: 0.141764ms
 48: 0.151584ms
 49: 0.149793ms
 50: 0.146456ms
 51: 0.154453ms
 52: 0.136485ms
 53: 0.153463ms
 54: 0.144832ms
 55: 0.150353ms
 56: 0.140802ms
 57: 0.145303ms
 58: 0.151242ms
 59: 0.143402ms
 60: 0.150902ms
 61: 0.150430ms
 62: 0.159401ms
 63: 0.143814ms
 64: 0.147419ms
 65: 0.158589ms
 66: 0.148979ms
 67: 0.127232ms
 68: 0.149889ms
 69: 0.154428ms
 70: 0.151051ms
 71: 0.138641ms
 72: 0.156132ms
 73: 0.144585ms
 74: 0.151713ms
 75: 0.152932ms
 76: 0.151646ms
 77: 0.138773ms
 78: 0.150080ms
 79: 0.137985ms
 80: 0.155701ms
 81: 0.147484ms
 82: 0.117830ms
 83: 0.149655ms
 84: 0.153115ms
 85: 0.148743ms
 86: 1.554347ms
 87: 0.143953ms
 88: 0.141198ms
 89: 0.142713ms
 90: 0.143661ms
 91: 0.141698ms
 92: 0.135037ms
 93: 0.148283ms
 94: 0.137352ms
 95: 0.128312ms
 96: 0.141698ms
 97: 0.134539ms
 98: 0.124397ms
 99: 0.141824ms
 100: 0.145007ms
 101: 0.144798ms
 102: 0.145222ms
 103: 0.143867ms
 104: 0.132929ms
 105: 0.141897ms
 106: 0.141614ms
 107: 0.151850ms
 108: 0.132711ms
 109: 0.133549ms
 110: 0.143559ms
 111: 0.149462ms
 112: 0.147764ms
 113: 0.143415ms
 114: 0.144571ms
 115: 0.144192ms
 116: 0.145065ms
 117: 0.147645ms
 118: 0.124654ms
 119: 0.142395ms
 120: 0.133127ms
 121: 0.134786ms
 122: 0.146150ms
 123: 0.130053ms
 124: 0.147973ms
 125: 0.136600ms
 126: 0.146662ms
 127: 0.142529ms
 128: 0.146199ms
 129: 0.133017ms
 130: 0.124350ms
 131: 0.126657ms
 132: 0.141624ms
 133: 0.148632ms
 134: 0.136295ms
 135: 0.145342ms
 136: 0.144679ms
 137: 0.141281ms
 138: 0.141652ms
 139: 0.145241ms
 140: 0.137249ms
 141: 0.131997ms
 142: 0.115528ms
 143: 0.148322ms
 144: 0.146330ms
 145: 0.149496ms
 146: 0.141735ms
 147: 0.138955ms
 148: 0.142416ms
 149: 0.142614ms
 150: 0.148719ms
 151: 0.144910ms
 152: 0.137918ms
 153: 0.150358ms
 154: 0.125732ms
 155: 0.144435ms
 156: 0.142382ms
 157: 0.128130ms
 158: 0.140057ms
 159: 0.126983ms
 160: 0.148495ms
 161: 0.142769ms
 162: 0.144218ms
 163: 0.132495ms
 164: 0.146281ms
 165: 0.136524ms
 166: 0.129274ms
 167: 0.134717ms
 168: 0.143622ms
 169: 0.121515ms
 170: 0.143038ms
 171: 0.133215ms
 172: 0.119555ms
 173: 0.142210ms
 174: 0.140363ms
 175: 0.143924ms
 176: 0.147896ms
 177: 0.138556ms
 178: 0.137561ms
 179: 0.147082ms
 180: 0.146675ms
 181: 0.111962ms
 182: 0.137061ms
 183: 0.127648ms
 184: 0.140048ms
 185: 0.146790ms
 186: 0.146389ms
 187: 0.145238ms
 188: 0.145128ms
 189: 0.131731ms
 190: 0.123693ms
 191: 0.131165ms
 192: 0.125074ms
 193: 0.140869ms
 194: 0.126525ms
 195: 0.144967ms
 196: 0.146893ms
 197: 0.146150ms
 198: 0.145513ms
 199: 0.147289ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 37
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.339217 ms
Runtime per batch   : 0.339217 ms
SD                  : 2.094619 ms
Q1                  : 0.136524 ms
Median              : 0.144086 ms
Q3                  : 0.148535 ms
