Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
30,1024³,966.8181,16.92
31,1024³,859.4091,16.54
32,1024³,964.6193,13.86
33,1024³,717.1390,18.63
34,1024³,902.4762,15.71
35,1024³,785.2287,18.66
36,1024³,916.1349,14.96
37,1024³,793.1990,16.92
38,1024³,878.3630,16.14
39,1024³,960.2120,14.73
40,1024³,865.0370,17.97
