Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,64³,1.9072,1.70
2,64³,1.0081,3.22
3,64³,0.7136,4.55
4,64³,0.5550,6.08
5,64³,0.4851,7.74
6,64³,0.4350,8.01
7,64³,0.4119,8.10
8,64³,0.3635,8.93
9,64³,0.3650,9.21
10,64³,0.3189,12.18
11,64³,0.2894,12.32
12,64³,0.5238,7.41
13,64³,0.2881,11.26
14,64³,0.2778,11.68
15,64³,0.2720,14.13
16,64³,0.2507,12.94
17,64³,0.2769,13.30
18,64³,0.2464,13.16
19,64³,0.2476,13.10
20,64³,0.2562,15.15
21,64³,0.2684,12.08
22,64³,0.2319,16.74
23,64³,0.2427,15.90
24,64³,0.2376,16.34
25,64³,0.2443,13.28
26,64³,0.2356,14.33
27,64³,0.2452,13.23
28,64³,0.2643,13.00
29,64³,0.2538,12.78
30,64³,0.2503,15.45
31,64³,0.2522,15.33
32,64³,0.2459,13.73
33,64³,0.2496,15.50
34,64³,0.2549,13.46
35,64³,0.2497,12.99
36,64³,0.2468,13.15
37,64³,0.2545,15.21
38,64³,0.2453,13.24
39,64³,0.2665,12.66
40,64³,0.2534,15.29
